iMISID,ID,UJURIS,UJURIS1,NAME_CUT,UPO,NAMELSAD,TEST,USTATE,STATE_TITLE,COUNTYFP +,COUSUBFP,COUSUBNS,FIPS_PLACE_ID,ST_FIP,ICMA_REGION_CODE,UCNTY#,GEOID,UZIP,UTYPE,UID,UPOP,UGRAPH,UREGN,UMETRO,UFOG,STATEFP +,per_flood,drought,per_sea,flood_dummy,drought_dummy,sea_dummy,score_hazard,statereg,per_water,pop_total_log,pop_density_log,pop_growth,age_median,per_white,per_male,per_manufact,edu_bachelor,per_democrat,hh_oc,income_log,prior_env,prior_cli,greenaction,staffs,urban,impervious
121765,121765,Town of Cheraw,"CHERAW, TOWN OF",Cheraw,Cheraw,Cheraw CCD,TRUE,SC,South Carolina,25,90585,1938225,13600,4513600,SE,25,4502590585,29520-0219,1,2,7,5,3,3,1,45,14.3465559,6.497159098,0,2,1,0,3,0,16.17009982,9.583006768,3.712061332,162.7805938,41,50.5,46.2,25.4,8.3417302,47.94,67.4,10.36435583,2,1,0,0,5,0
207667,207667,City of Darlington,"DARLINGTON, CITY OF",Darlington,Darlington,Darlington CCD,TRUE,SC,South Carolina,31,90858,1938246,18565,4518565,SE,31,4503190858,29532-3815,1,1,7,5,3,3,1,45,6.8394682,5.454545455,0,1,1,0,2,0,10.86497109,10.18644599,4.251899576,294.9553571,39.6,50,46.9,22.7,6.0774937,52.66,68.4,10.45665402,1,1,2,0,9,1
330535,330535,City of Dell Rapids,"DELL RAPIDS, CITY OF",Dell Rapids,Dell Rapids,Dell Rapids township,TRUE,SD,South Dakota,99,16020,1267945,15980,4615980,MP,99,4609916020,57022-0010,1,1,8,4,2,2,2,46,20.7787304,2,0,2,1,0,3,0,0,6.309918278,1.842296538,-81.54362416,37.8,95.8,53.5,9.4,17.6360225,51.11,91.3,11.04906294,2,1,0,0,0,1
193287,193287,City of Hot Springs,"HOT SPRINGS, CITY OF",Hot Springs,Hot Springs,Hot Springs city,TRUE,SD,South Dakota,47,30220,1267427,30220,4630220,MP,47,4604730220,57747-1626,1,1,8,4,2,3,1,46,3.5647499,17,0,1,2,0,3,0,0,8.219056661,6.003387289,-10.12351659,49.8,85.4,50.4,1.9,11.140374,35.13,59.6,10.35888503,3,2,1,0,58,0
193298,193298,City of Spearfish,"SPEARFISH, CITY OF",Spearfish,Spearfish,Spearfish city,TRUE,SD,South Dakota,81,60020,1267588,60020,4660020,MP,81,4608160020,57783-2311,1,1,7,4,2,3,1,46,6.3798485,13,0,1,2,0,3,0,0,9.258558944,5.505827699,21.93818266,33.2,93.5,47.1,5.5,16.0666994,40.91,50.8,10.4256388,3,1,0,0,30,0
193068,193068,City of Brandon,"BRANDON, CITY OF",Brandon,Brandon,Brandon city,TRUE,SD,South Dakota,99,6840,1267292,6840,466840,MP,99,4609906840,57005-0095,1,1,7,4,2,2,1,46,13.6597661,1,0,2,1,0,3,0,0,9.080801001,6.439950256,54.31231337,32.9,96.8,49.6,9.8,19.6161788,49.46,76.1,11.07170364,2,1,0,0,65,0
193073,193073,City of Brookings,"BROOKINGS, CITY OF",Brookings,Brookings,Brookings city,TRUE,SD,South Dakota,11,7580,1267299,7580,467580,MP,11,4601107580,57006-0270,1,1,6,4,2,3,3,46,12.5520025,1,0,2,1,0,3,0,2.85E-10,10.00133995,6.444036429,19.19584955,23.5,92.1,51.1,23,18.6760458,51.68,47.1,10.58159723,2,2,0,0,63,1
193094,193094,City of Vermillion,"VERMILLION, CITY OF",Vermillion,Vermillion,Vermillion city,TRUE,SD,South Dakota,27,66700,1267613,66700,4666700,MP,27,4602766700,57069-2101,1,1,7,4,2,3,2,46,2.0923864,1,0,1,1,0,2,0,0,9.265869682,6.899139911,8.253968254,23.4,89.6,47.8,2.9,17.048588,61.01,42.5,10.3265961,2,1,0,0,83,1
200227,200227,City of Baytown,"BAYTOWN, CITY OF",Baytown,Baytown,Baytown CCD,TRUE,TX,Texas,201,90225,1938520,6128,486128,MP,201,4820190225,77522-0424,1,1,4,7,3,1,2,48,26.1674063,7,26.70596481,2,1,2,5,0,0,11.19456423,6.136665277,9.489688394,32.1,62.7,48.8,16.6,6.4474194,50.45,58.6,10.71103427,2,1,0,0,66,1
200354,200354,City of Beaumont,"BEAUMONT, CITY OF",Beaumont,Beaumont,Beaumont CCD,TRUE,TX,Texas,245,90230,1938521,7000,487000,MP,245,4824590230,77704-3827,1,1,3,7,3,1,2,48,0.0131856,7,5.748685889,0,1,1,2,0,3.454761699,11.66232775,6.37818856,1.974250435,34.2,39.9,47.9,8.4,12.2212779,19.03,56.4,10.60722842,2,1,1,0,71,0
