network,campaign,adgroup,small_cohort,ostype,nb_device_id,per_fb_homescreen,per_fb_search,per_fb_view_listing,per_fb_view_product,per_add_to_cart,per_guest_sale,per_sale,per_ios,per_nc
Motive,ID_App_Native,68332,2016-04-16,android,404,0.9702970297,0.472772277227723,0.596534653465347,0.589108910891089,0.123762376237624,0.0495049504950495,0.0099009900990099,0,0.061881188
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-16,android,3777,0.306063013,0.12549642573471,0.186920836642838,0.178713264495631,0.0283293619274557,0.00635424940428912,0.00555996822875298,0,0.035477893
BBM,ID_PaidAppInstall,SponsoredUpdate,2016-04-16,ios,348,0.367816092,0.14367816091954,0.25,0.181034482758621,0.0459770114942529,0.0028735632183908,0,1,0.025862069
Mobvista SDK,ID_Traffic_Placement,441_6ae2e6c404abc284,2016-04-16,android,2649,0.5670064175,0.272178180445451,0.346168365420914,0.343148357870895,0.0728576821442054,0.0154775386938467,0.0128350320875802,0,0.045300113
Mobvista SDK,ID_Traffic_Placement,441_93960d5fb44e9016,2016-04-16,android,482,0.4460580913,0.139004149377593,0.188796680497925,0.190871369294606,0.04149377593361,0.0103734439834025,0.00622406639004149,0,0.01659751
Mobvista SDK,ID_Traffic_Placement,441_98be175f18ff1211,2016-04-16,android,2242,0.5294380018,0.288581623550401,0.289473684210526,0.330508474576271,0.0749330954504906,0.008028545941124,0.0147190008920607,0,0.034790366
Mobvista SDK,ID_Traffic_Placement,441_dcacc2b04bdf831e,2016-04-16,android,645,0.9705426357,0.449612403100775,0.51937984496124,0.531782945736434,0.136434108527132,0.0403100775193798,0.0186046511627907,0,0.04496124
Taptica,Traffic_Placement,1296739,2016-04-16,android,269,1,0.576208178438662,0.635687732342007,0.669144981412639,0.148698884758364,0.033457249070632,0.0223048327137546,0,0.048327138
Taptica,Traffic_Placement,1381228,2016-04-16,android,599,0.6427378965,0.277128547579299,0.310517529215359,0.333889816360601,0.0667779632721202,0.00667779632721202,0.010016694490818,0,0.026711185
Taptica,Traffic_Placement,1476585,2016-04-16,android,956,0.8734309623,0.242677824267782,0.402719665271967,0.400627615062762,0.0805439330543933,0.0292887029288703,0.0115062761506276,0,0.033472803
Taptica,Traffic_Placement,861520,2016-04-16,android,720,0.7625,0.2,0.368055555555556,0.316666666666667,0.0722222222222222,0.0166666666666667,0.00277777777777778,0,0.026388889
Organic,0,0,2016-04-19,android,18098,0.9981213394,0.521880870814455,0.527130069620953,0.599569013150624,0.108796552105205,0.0235385125428224,0.0251961542711902,0,0.042822411
Organic,0,0,2016-04-19,ios,5191,0.9998073589,0.341360046233866,0.445193604315161,0.355230206125987,0.112117125794645,0.0159892120978617,0.023116933153535,1,0.032363706
IronSource,App_Generic,0,2016-04-19,android,487,0.636550308,0.137577002053388,0.305954825462012,0.246406570841889,0.0451745379876797,0.0164271047227926,0.00410677618069815,0,0.034907598
Mobvista,App_Generic,333_56468d5607a5aaf1,2016-04-19,android,222,0.5405405405,0.189189189189189,0.27027027027027,0.274774774774775,0.0405405405405405,0,0.0045045045045045,0,0.027027027
Mobvista,App_Generic,441_6ae2e6c404abc284,2016-04-19,android,1244,0.001607717,0.00160771704180064,0.00160771704180064,0.000803858520900322,0,0,0,0,0.020096463
